Classifier,Methods,Accuracy,Precision,Recall,F1Score
LogisticRegression,N-grams,53.333333333333336,65.12820512820512,53.333333333333336,46.00389863547758
KNeighborsClassifier,N-grams,53.333333333333336,65.12820512820512,53.333333333333336,46.00389863547758
DecisionTreeClassifier,N-grams,40.0,76.48148148148147,40.0,47.878787878787875
RandomForestClassifier,N-grams,53.333333333333336,65.12820512820512,53.333333333333336,46.00389863547758
AdaBoostClassifier,N-grams,33.33333333333333,66.66666666666666,33.33333333333333,40.74074074074074
GradientBoostingClassifier,N-grams,53.333333333333336,65.12820512820512,53.333333333333336,46.00389863547758
MultinomialNB,N-grams,46.666666666666664,51.11111111111111,46.666666666666664,43.66666666666667
BernoulliNB,N-grams,40.0,16.000000000000004,40.0,22.857142857142858
